socialmedia,age,mobile,season,newcustomer,adcost,adrevenue,profit,profit %,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,22,mobile,fall,no,3.85,16.06,12.21,3.171428571,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,summer,no,7.41,30.73,23.32,3.147098516,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,summer,no,5.79,23.78,17.99,3.107081174,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,30,computer,fall,yes,11.12,45.3,34.18,3.073741007,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,47,computer,fall,no,10.15,41.32,31.17,3.070935961,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,43,mobile,summer,no,10.43,42.25,31.82,3.050814957,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,winter,yes,2.09,8.45,6.36,3.043062201,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,45,mobile,fall,no,3.99,16.01,12.02,3.012531328,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,40,computer,spring,no,7.01,28.11,21.1,3.009985735,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,39,mobile,spring,no,4.03,15.92,11.89,2.950372208,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,spring,no,5.48,21.32,15.84,2.890510949,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,spring,yes,2.76,10.71,7.95,2.880434783,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,39,computer,spring,no,5.25,20.31,15.06,2.868571429,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,24,mobile,winter,no,6.65,25.67,19.02,2.860150376,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,24,mobile,winter,yes,3.03,11.55,8.52,2.811881188,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,winter,yes,4.33,16.39,12.06,2.7852194,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,40,mobile,spring,no,4.1,15.23,11.13,2.714634146,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,computer,summer,yes,1.45,5.35,3.9,2.689655172,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,49,computer,winter,no,11.85,43.72,31.87,2.689451477,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,21,computer,fall,no,7.66,27.62,19.96,2.605744125,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,27,computer,winter,no,6.22,21.73,15.51,2.493569132,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,29,mobile,fall,no,7.69,26.8,19.11,2.485045514,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,25,mobile,fall,yes,3.94,13.73,9.79,2.484771574,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,13,mobile,winter,no,4.19,14.58,10.39,2.479713604,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,summer,yes,2.28,7.76,5.48,2.403508772,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,23,mobile,fall,no,3.71,12.59,8.88,2.393530997,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,29,mobile,winter,yes,3.69,12.49,8.8,2.384823848,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,fall,yes,1.06,3.58,2.52,2.377358491,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,13,mobile,fall,yes,4.75,15.85,11.1,2.336842105,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,21,mobile,summer,no,2.5,8.33,5.83,2.332,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,20,computer,fall,yes,13.2,43.94,30.74,2.328787879,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,28,mobile,winter,no,2.64,8.72,6.08,2.303030303,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,28,mobile,spring,no,6.39,20.69,14.3,2.237871674,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,38,computer,fall,no,7.32,23.64,16.32,2.229508197,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,25,mobile,winter,yes,3.49,11.11,7.62,2.183381089,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,38,mobile,fall,no,3.95,12.57,8.62,2.182278481,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,51,computer,summer,no,5.66,17.87,12.21,2.157243816,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,16,computer,winter,no,13.29,41.67,28.38,2.135440181,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,37,computer,winter,yes,7.24,22.62,15.38,2.124309392,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,20,mobile,spring,no,6.44,20.05,13.61,2.113354037,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,37,computer,spring,no,11.4,35.1,23.7,2.078947368,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,38,computer,fall,yes,5.87,17.9,12.03,2.049403748,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,24,mobile,fall,no,6.26,18.9,12.64,2.019169329,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,15,mobile,winter,no,2.19,6.61,4.42,2.01826484,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,21,mobile,fall,no,6.15,18.5,12.35,2.008130081,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,winter,no,1.97,5.92,3.95,2.005076142,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,summer,no,1.2,3.59,2.39,1.991666667,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,summer,no,5.72,17.04,11.32,1.979020979,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,27,mobile,winter,no,3.28,9.77,6.49,1.978658537,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,32,computer,spring,no,8.8,26.09,17.29,1.964772727,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,19,mobile,winter,yes,6.92,20.34,13.42,1.939306358,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,31,computer,winter,no,2.71,7.95,5.24,1.933579336,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,21,mobile,summer,no,3.81,11.17,7.36,1.93175853,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,fall,yes,0.96,2.8,1.84,1.916666667,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,48,computer,fall,no,13.87,39.99,26.12,1.883201154,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,spring,no,6.15,17.58,11.43,1.858536585,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,winter,no,6.06,17.3,11.24,1.854785479,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,41,computer,fall,yes,10.68,30.37,19.69,1.843632959,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,24,mobile,spring,yes,3.92,11.13,7.21,1.839285714,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,21,mobile,fall,no,1.41,3.99,2.58,1.829787234,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,25,mobile,summer,no,4.63,13.03,8.4,1.81425486,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,20,mobile,winter,no,7.23,20.16,12.93,1.788381743,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,18,computer,spring,no,9.41,25.9,16.49,1.752391073,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,28,mobile,winter,no,8.98,24.69,15.71,1.749443207,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,42,computer,spring,no,8.4,22.85,14.45,1.720238095,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,40,mobile,summer,yes,8.71,23.54,14.83,1.702640643,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,31,mobile,spring,no,7.39,19.75,12.36,1.672530447,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,36,computer,winter,yes,14.16,37.22,23.06,1.628531073,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,43,mobile,winter,no,14.03,36.66,22.63,1.612972202,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,11,computer,winter,no,8.46,21.76,13.3,1.572104019,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,30,mobile,fall,no,3.19,8.19,5,1.567398119,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,22,mobile,winter,no,5.92,15.11,9.19,1.552364865,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,27,mobile,summer,yes,3.52,8.96,5.44,1.545454545,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,fall,no,7.54,18.97,11.43,1.515915119,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,fall,yes,4.21,10.46,6.25,1.48456057,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,32,mobile,spring,no,4.51,11.18,6.67,1.478935698,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,20,mobile,winter,no,11.89,29.25,17.36,1.460050463,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,40,computer,winter,no,5.87,14.43,8.56,1.458262351,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,35,computer,fall,yes,6.12,14.97,8.85,1.446078431,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,26,mobile,fall,no,3.15,7.7,4.55,1.444444444,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,24,mobile,fall,no,1.97,4.81,2.84,1.441624365,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,28,mobile,spring,no,7.7,18.61,10.91,1.416883117,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,fall,yes,3.42,8.25,4.83,1.412280702,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,24,computer,winter,yes,5.09,12.26,7.17,1.408644401,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,25,computer,summer,yes,7.94,19.07,11.13,1.401763224,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,23,computer,spring,yes,13.1,31.35,18.25,1.393129771,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,27,mobile,winter,yes,6.45,15.4,8.95,1.387596899,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,47,mobile,winter,no,6.56,15.65,9.09,1.385670732,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,26,mobile,spring,no,8.23,19.45,11.22,1.363304982,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,27,mobile,spring,yes,6.69,15.75,9.06,1.35426009,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,fall,yes,1.38,3.23,1.85,1.34057971,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,20,computer,spring,yes,6.23,14.51,8.28,1.32905297,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,26,mobile,spring,no,5.92,13.66,7.74,1.307432432,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,23,mobile,winter,no,0.1,0.23,0.13,1.3,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,22,mobile,winter,yes,1.79,4.09,2.3,1.284916201,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,23,mobile,summer,yes,3.74,8.53,4.79,1.280748663,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,27,mobile,summer,no,5.33,12.14,6.81,1.277673546,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,42,computer,winter,yes,5.29,12.01,6.72,1.270321361,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,41,mobile,winter,no,1.72,3.89,2.17,1.261627907,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,31,computer,spring,no,2.44,5.49,3.05,1.25,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,35,computer,fall,yes,12.96,29.14,16.18,1.24845679,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,28,mobile,spring,yes,5.61,12.58,6.97,1.242424242,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,15,computer,spring,yes,4.78,10.65,5.87,1.228033473,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,18,mobile,summer,yes,11.65,25.88,14.23,1.221459227,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,32,mobile,winter,no,4.58,10.01,5.43,1.18558952,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,spring,no,2.51,5.48,2.97,1.183266932,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,fall,no,2.13,4.61,2.48,1.164319249,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,24,mobile,spring,yes,1.08,2.28,1.2,1.111111111,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,winter,yes,6.97,14.64,7.67,1.100430416,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,summer,no,2.58,5.37,2.79,1.081395349,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,22,mobile,fall,no,6.85,14.09,7.24,1.056934307,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,38,mobile,summer,yes,2.85,5.84,2.99,1.049122807,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,35,mobile,winter,no,5.89,11.93,6.04,1.025466893,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,41,mobile,summer,yes,11.33,22.77,11.44,1.009708738,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,29,computer,summer,no,12.53,24.98,12.45,0.993615323,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,28,mobile,spring,yes,5.85,11.54,5.69,0.972649573,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,25,mobile,summer,no,4.52,8.9,4.38,0.969026549,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,31,mobile,fall,no,6.98,13.71,6.73,0.964183381,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,30,mobile,spring,no,3.74,7.34,3.6,0.962566845,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,28,mobile,summer,no,5.08,9.86,4.78,0.940944882,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,20,computer,summer,yes,5.87,11.27,5.4,0.919931857,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,15,mobile,fall,no,0.68,1.29,0.61,0.897058824,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,16,computer,fall,no,8.3,15.62,7.32,0.881927711,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,winter,no,3.48,6.51,3.03,0.870689655,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,34,mobile,summer,yes,3.03,5.65,2.62,0.864686469,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,38,computer,winter,no,10.68,19.84,9.16,0.857677903,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,35,computer,fall,no,5.48,9.89,4.41,0.804744526,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,29,computer,spring,no,7.26,13.01,5.75,0.792011019,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,31,mobile,fall,no,5.34,9.4,4.06,0.760299625,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,37,computer,summer,yes,14.49,25.5,11.01,0.759834369,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,computer,spring,no,7.91,13.82,5.91,0.747155499,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,26,computer,summer,yes,3,5.18,2.18,0.726666667,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,fall,no,7.75,13.38,5.63,0.726451613,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,22,mobile,fall,no,8.87,15.03,6.16,0.694475761,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,38,computer,fall,no,12.62,21.24,8.62,0.683042789,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,21,mobile,spring,no,6.74,11.26,4.52,0.670623145,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,36,mobile,spring,no,12.51,20.87,8.36,0.668265388,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,26,computer,winter,no,3.9,6.47,2.57,0.658974359,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,24,mobile,summer,no,3.43,5.67,2.24,0.653061224,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,35,computer,winter,no,9.42,15.56,6.14,0.651804671,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,39,computer,summer,no,4.48,7.37,2.89,0.645089286,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,winter,yes,4.3,7.06,2.76,0.641860465,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,27,mobile,fall,no,5.56,8.96,3.4,0.611510791,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,28,computer,spring,yes,14.01,22.43,8.42,0.600999286,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,20,mobile,summer,yes,4.57,7.31,2.74,0.599562363,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,31,mobile,summer,no,8.41,13.42,5.01,0.595719382,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,30,computer,spring,no,4.22,6.72,2.5,0.592417062,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,19,mobile,winter,no,5.57,8.81,3.24,0.581687612,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,32,mobile,winter,yes,8.95,13.94,4.99,0.557541899,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,30,mobile,fall,no,3.52,5.47,1.95,0.553977273,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,14,mobile,spring,no,5.16,7.98,2.82,0.546511628,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,29,computer,summer,yes,11.39,17.57,6.18,0.542581212,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,24,computer,fall,no,2.77,4.25,1.48,0.534296029,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,21,mobile,winter,yes,4.81,7.37,2.56,0.532224532,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,21,mobile,spring,no,2.16,3.26,1.1,0.509259259,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,32,computer,spring,yes,5.81,8.72,2.91,0.500860585,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,24,mobile,fall,no,6.5,9.62,3.12,0.48,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,16,mobile,winter,no,3.5,5.13,1.63,0.465714286,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,28,mobile,summer,no,3.13,4.57,1.44,0.460063898,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,30,mobile,fall,no,4.11,6,1.89,0.459854015,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,25,mobile,spring,no,8.95,12.98,4.03,0.45027933,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,31,computer,fall,no,5.01,7.26,2.25,0.449101796,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,14,mobile,fall,no,2.47,3.57,1.1,0.44534413,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,40,computer,fall,yes,10.88,15.52,4.64,0.426470588,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,27,mobile,fall,yes,4.07,5.8,1.73,0.425061425,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,27,computer,spring,no,3.65,5.2,1.55,0.424657534,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,26,mobile,fall,no,6.83,9.68,2.85,0.41727672,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,30,computer,spring,yes,14.37,20.34,5.97,0.415448852,,,,,,,,,,,,,,,,,,,,,,,,
